Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock,Details,ExtraDetails
74,W,Tungsten,Metal,2;3;4;5;6,5,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde
75,Re,Rhenium,Metal,1;2;4;6;7,5,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde
76,Os,Osmium,Metal,2;3;4;6;8,5,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde
77,Ir,Iridium,Metal,2;3;4;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
78,Pt,Platinum,Metal,2;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
79,Au,Gold,Metal,1;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
80,Hg,Mercury,Metal,1;2,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
81,Tl,Thallium,Metal,1;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
82,Pb,Lead,Metal,2;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
83,Bi,Bismuth,Metal,3;5,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
84,Po,Polonium,Metalloid,2;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
85,At,Astatus,Non-metal,1;3;5;7,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
86,Rn,Radon,Noble gas,0,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
87,Fr,Francius,Metal,1,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
88,Ra,Radio,Metal,2,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
89,Ac,Actinium,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
90,Th,Thorium,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
91,Pa,Protactinium,Metal,4;5,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
92,U,Uranium,Metal,3;4;5;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
93,Np,Neptunium,Metal,3;4;5;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
94,Pu,Plutonium,Metal,3;4;5;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
95,Am,Americium,Metal,3;4;5;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
96,Cm,Curium,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
97,Bk,Berkelium,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
98,Cf,Californium,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
99,Es,Einsteinium,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
100,Fm,Fermium,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
101,Md,Mendelevium,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
102,No,Nobelio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
103,Lr,Laurencio,Metal,3;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
104,Rf,Rutherfordio,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
105,Db,Dubnium,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
106,Sg,Seaborgio,Metal,4,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
107,Bh,Bohrio,Metal,3;4;5,3,No corresponde,No corresponde,No corresponde,,,No corresponde,No corresponde,No corresponde
108,Hs,Hassio,Metal,2;4;6;7,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
109,Mt,Meitnerius,Metal,2;3;4;6,4,No corresponde,No corresponde,No corresponde,No corresponde,,No corresponde,No corresponde,No corresponde
110,Ds,Darmstadtium,Metal,2;4,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
111,Rg,Roentgenio,Metal,2;3,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
112,Cn,Copernicus,Metal,1;2,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
113,Nh,Nihonium,Metal,3,1,No corresponde,,,,,No corresponde,No corresponde,No corresponde
114,Fl,Flerovio,Metal,2;4;6,3,No corresponde,No corresponde,No corresponde,,,No corresponde,No corresponde,No corresponde
115,Mc,Moscovio,Metal,1;4;5,3,No corresponde,No corresponde,No corresponde,,,No corresponde,No corresponde,No corresponde
116,Lv,Livermorio,Metal,3;4;5,3,No corresponde,No corresponde,No corresponde,,,No corresponde,No corresponde,No corresponde
117,Ts,Tenesino,Metal,1;2;3,3,No corresponde,No corresponde,No corresponde,,,No corresponde,No corresponde,No corresponde
118,Og,Oganeson,Metal,4;7,2,No corresponde,No corresponde,,,,No corresponde,No corresponde,No corresponde
