Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
79,Au,Gold,Metal,1;3,2,Aurous Oxide,Auric Oxide,,,,Gold Oxide
80,Hg,Mercury,Metal,1;2,2,Mercurous Oxide,Mercuric Oxide,,,,Mercury Oxide
81,Tl,Thallium,Metal,1;3,2,Thallous Oxide,Thalic Oxide,,,,Thallium Oxide
82,Pb,Lead,Metal,2;4,2,Plubious Oxide,Lead Oxide,,,,Lead Oxide
83,Bi,Bismuth,Metal,3;5,2,Bismuth Oxide,Bismuth Oxide,,,,Bismuth Oxide
84,Po,Polonium,Metalloid,2;4,2,Polonious Oxide,Polonic Oxide,,,,Polonium Oxide
85,At,Astatus,Non-metal,1;3;5;7,4,HypoAstatosus Oxide,Astatosus Oxide,Astatic Oxide,PerAstatic Oxide,,Astatus Oxide
86,Rn,Radon,Noble gas,0,1,Not Avairable,,,,,Not Avairable
87,Fr,Francius,Metal,1,1,Francium Oxide,,,,,Francius Oxide
88,Ra,Radio,Metal,2,1,Radio Oxide,,,,,Radio Oxide
89,Ac,Actinium,Metal,3,1,Actinium Oxide,,,,,Actinium Oxide
90,Th,Thorium,Metal,4,1,Thorium Oxide,,,,,Thorium Oxide
91,Pa,Protactinium,Metal,4;5,2,Protactinium Oxide,Protactinic Oxide,,,,Protactinium Oxide
92,U,Uranium,Metal,3;4;5;6,4,HypoUranous Oxide,Uranus Oxide,Uranic Oxide,PerUranic Oxide,,Uranium Oxide
93,Np,Neptunium,Metal,3;4;5;6,4,Hypo Neptunious Oxide,Neptunious Oxide,Neptunic Oxide,PerNeptunic Oxide,,Neptunium Oxide
94,Pu,Plutonium,Metal,3;4;5;6,4,HypoPlutonious Oxide,Plutonious Oxide,Plutonic Oxide,PerPlutonic Oxide,,Plutonium Oxide
95,Am,Americium,Metal,3;4;5;6,4,HypoAmeric Oxide,Americious Oxide,Americium Oxide,PerAmeric Oxide,,Americium Oxide
96,Cm,Curium,Metal,3,1,Curium Oxide,,,,,Curium Oxide
97,Bk,Berkelium,Metal,3;4,2,Berkelious Oxide,Berkelic Oxide,,,,Berkelium Oxide
98,Cf,Californium,Metal,3,1,Californium Oxide,,,,,Californium Oxide
99,Es,Einsteinium,Metal,4,1,Einsteinium Oxide,,,,,Einsteinium Oxide
100,Fm,Fermium,Metal,4,1,Fermium Oxide,,,,,Fermium Oxide
101,Md,Mendelevium,Metal,3;4,2,Mendelevious Oxide,Mendelevic Oxide,,,,Mendelevium Oxide
102,No,Nobelio,Metal,3;4,2,Nobelium Oxide,Nobelic Oxide,,,,Nobelio Oxide
103,Lr,Laurencio,Metal,3;4,2,Laurencious Oxide,Laurenic Oxide,,,,Laurencio Oxide
104,Rf,Rutherfordio,Metal,4,1,Rutherfordium Oxide,,,,,Rutherfordio Oxide
105,Db,Dubnium,Metal,4,1,Dubnium Oxide,,,,,Dubnium Oxide
106,Sg,Seaborgio,Metal,4,1,Seaborgium Oxide,,,,,Seaborgio Oxide
107,Bh,Bohrio,Metal,3;4;5,3,HypoBohrous Oxide,Bohrous Oxide,Bohric Oxide,,,Bohrio Oxide
108,Hs,Hassio,Metal,2;4;6;7,4,HypoHassious Oxide,Hassiosus Oxide,Hassic Oxide,PerHasic Oxide,,Hassio Oxide
109,Mt,Meitnerius,Metal,2;3;4;6,4,Hypo-Meitneric Oxide,Meitnerious Oxide,Meiteric Oxide,PerMeitronic Oxide,,Meitnerius Oxide
110,Ds,Darmstadtium,Metal,2;4,2,Darmstatium Oxide,Darmstatic Oxide,,,,Darmstadtium Oxide
111,Rg,Roentgenio,Metal,2;3,2,Roentgenous Oxide,Roentegenic Oxide,,,,Roentgenio Oxide
112,Cn,Copernicus,Metal,1;2,2,Copernicium Oxide,Copernicus Oxide,,,,Copernicus Oxide
113,Nh,Nihonium,Metal,3,1,Nihonium Oxide,,,,,Nihonium Oxide
114,Fl,Flerovio,Metal,2;4;6,3,HypoFlerovium Oxide,Flerovious Oxide,Flerovic Oxide,,,Flerovio Oxide
115,Mc,Moscovio,Metal,1;4;5,3,HypoMoscovian Oxide,Muscovy Oxide,Moscow Oxide,,,Moscovio Oxide
116,Lv,Livermorio,Metal,3;4;5,3,Hypo-Liver Oxide,Livermorous Oxide,Livermoric Oxide,,,Livermorio Oxide
117,Ts,Tenesino,Metal,1;2;3,3,HypoTenesinous Oxide,Tenesinous Oxide,Tennesic Oxide,,,Tenesino Oxide
118,Og,Oganeson,Metal,4;7,2,Oganesone Oxide,Oganesic Oxide,,,,Oganeson Oxide
