Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
43,Tc,Technétium,Metal,7,1,Oxyde de Technétium,,,,,Oxyde de Technétium
29,Cu,Cuivre,Metal,1;2,2,Oxyde cuivreux,Oxyde de Cuivre,,,,Oxyde de cuivre
80,Hg,Mercure,Metal,1;2,2,Oxyde mercureux,Oxyde de mercure,,,,Oxyde de mercure
112,Cn,Copernic,Metal,1;2,2,Oxyde de Copernicium,Oxyde de Copernic,,,,Oxyde de Copernic
117,Ts,Tenesino,Metal,1;2;3,3,Oxyde HypoTénésineux,Oxyde Tenesineux,Oxyde Tennesique,,,Oxyde de Tenesino
75,Re,Rhénium,Metal,1;2;4;6;7,5,Oxyde HypoRénieux,Oxyde de rhénium,Oxyde rhénique,Oxyde perrénique,Oxyde superrhénique,Oxyde de rhénium
79,Au,Or,Metal,1;3,2,Oxyde aureux,Oxyde aurique,,,,Oxyde d'or
81,Tl,Thallium,Metal,1;3,2,Oxyde Thalleux,Oxyde Thalique,,,,Oxyde de Thallium
17,Cl,Chlore,Non-metal,1;3;5;7,4,Oxyde hypochloreux,Chloreux,Oxyde de Chlore,Oxyde perchlorique,,Oxyde de chlore
85,At,Statut,Non-metal,1;3;5;7,4,Oxyde hypoastatique,Oxyde d'Astatosus,Oxyde astatique,Oxyde PerAstatique,,Oxyde d'état
115,Mc,Moscou,Metal,1;4;5,3,Oxyde hypomoscovien,Oxyde de Barbarie,Oxyde de Moscou,,,Oxyde de Moscou
35,Br,Brome,Non-metal,1;5,2,Oxyde Bromeux,Oxyde de brome,,,,Oxyde de brome
53,I,Iode,Non-metal,1;5;7,3,Oxyde d'hypo-iode,Oxyde d'iode,Oxyde d'iode,,,Oxyde d'iode
26,Fe,Le fer,Metal,2;3,2,Oxyde ferreux,Oxyde ferrique,,,,Oxyde de fer
27,Co,Cobalt,Metal,2;3,2,Oxyde de cobalt,Oxyde de cobalt,,,,Oxyde de cobalt
28,Ni,Nickel,Metal,2;3,2,Oxyde de nickel,Oxyde de nickel,,,,Oxyde de nickel
62,Sm,Samarium,Metal,2;3,2,Oxyde de samarium,Oxyde de samarique,,,,Oxyde de samarium
63,Eu,Europium,Metal,2;3,2,Oxyde Européen,Oxyde Europique,,,,Oxyde d'europium
69,Tm,Thulium,Metal,2;3,2,Oxyde de Tulious,Oxyde tholique,,,,Oxyde de thulium
70,Yb,Ytterbium,Metal,2;3,2,Oxyde iterbie,Oxyde itterbique,,,,Oxyde d'ytterbium
111,Rg,Roentgenio,Metal,2;3,2,Oxyde radiogène,Oxyde roentgénique,,,,Oxyde de Roentgenio
45,Rh,Rhodié,Metal,2;3;4,3,Oxyde hyporodieux,Oxyde de Rhodium,Oxyde de Rhodium,,,Oxyde de Rhodium
7,N,Azote,Non-metal,2;3;4;5,4,Oxyde hypoazote,Oxyde de nitrogène,Oxyde nitrique,Oxyde PerNitrique,,Oxyde de nitrogène
23,V,Vanadium,Metal,2;3;4;5,4,Oxyde HypoVanadious,Oxyde vanadieux,Oxyde vanadique,Oxyde pervanadique,,Oxyde de vanadium
42,Mo,Molybdène,Metal,2;3;4;5;6,5,Oxyde d'hypomolybdène,Oxyde de molybdène,Oxyde de molybdène,PerMolybdenic Oxyde,Oxyde SuperMolybdène,Oxyde de molybdène
74,W,Tungstène,Metal,2;3;4;5;6,5,Oxyde d'hypo-tungstène,Oxyde de tungstène,Oxyde de tungstène,PerTungsthenic Oxyde,Oxyde SuperTungsthénique,Oxyde de tungstène
77,Ir,Iridium,Metal,2;3;4;6,4,Oxyde d'hypoiridium,Oxyde irisé,Oxyde iridique,Oxyde périodique,,Oxyde d'iridium
109,Mt,Meitnerius,Metal,2;3;4;6,4,Oxyde Hypo-Meitnerique,Oxyde méticuleux,Oxyde Méitérique,Oxyde PerMeitronique,,Oxyde de Meitnerius
25,Mn,Manganèse,Metal,2;3;4;6;7,5,Oxyde hypomanganeux,Oxyde manganeux,Oxyde Manganique,Oxyde de Permanganique,Oxyde Supermanganique,Oxyde de manganèse
44,Ru,Ruthénium,Metal,2;3;4;6;8,5,Oxyde d'hyporuthénium,Oxyde de ruthénium,Oxyde ruthénique,Oxyde perruthénique,Oxyde superruthénique,Oxyde de Ruthénium
76,Os,Osmium,Metal,2;3;4;6;8,5,Oxyde hypoosmique,Oxyde d'osmium,Oxyde osmique,Oxyde PerOSmique,Oxyde Superosmique,Oxyde d'osmium
24,Cr,Chrome,Metal,2;3;6,3,Oxyde hypochrome,Oxyde de Chrome,Oxyde de Chrome,,,Oxyde de Chrome
6,C,Carbone,Non-metal,2;4,2,Oxyde de Carbone,Oxyde de carbone,,,,Oxyde de carbone
46,Pd,Palladium,Metal,2;4,2,Palado Rouille,Oxyde palladique,,,,Oxyde de palladium
50,Sn,Étain,Metal,2;4,2,Oxyde d'étain,Oxyde stannique,,,,Oxyde d'étain
78,Pt,Platine,Metal,2;4,2,Oxyde Platineux,Oxyde Platinique,,,,Oxyde de platine
82,Pb,Mener,Metal,2;4,2,Oxyde Plubeux,Oxyde de plomb,,,,Oxyde de plomb
84,Po,Polonium,Metalloid,2;4,2,Oxyde de Polonais,Oxyde Polonique,,,,Oxyde de polonium
110,Ds,Darmstadtium,Metal,2;4,2,Oxyde de darmstatium,Oxyde darmstatique,,,,Oxyde de darmstadtium
16,S,Soufre,Non-metal,2;4;6,3,Oxyde d'hyposulfure,Oxyde de soufre,Oxyde de soufre,,,Oxyde de soufre
52,Te,Tellure,Metalloid,2;4;6,3,Oxyde hypotellurique,Oxyde de Tellure,Oxyde Tellurique,,,Oxyde de Tellure
114,Fl,Flerovio,Metal,2;4;6,3,Oxyde d'hypoFlérovium,Oxyde Flérovieux,Oxyde de Flerovic,,,Oxyde de Flerovio
108,Hs,Hassio,Metal,2;4;6;7,4,Oxyde HypoHassieux,Oxyde de hassiosus,Oxyde hassique,Oxyde perhasique,,Oxyde de Hassio
22,Ti,Titane,Metal,3;4,2,Oxyde Titane,Oxyde de Titane,,,,Oxyde de titane
58,Ce,Cérium,Metal,3;4,2,Oxyde de cérium,Oxyde cérique,,,,Oxyde de cérium
59,Pr,Praséodyme,Metal,3;4,2,Oxyde de praséodyme,Oxyde praséodymique,,,,Praséodyme
65,Tb,Terbium,Metal,3;4,2,Oxyde terbieux,Oxyde terbique,,,,Oxyde de Terbium
97,Bk,Berkélium,Metal,3;4,2,Oxyde de Berkelious,Oxyde de Berkélique,,,,Oxyde de Berkélium
101,Md,Mendélévie,Metal,3;4,2,Oxyde de Mendélévie,Oxyde mendélévique,,,,Oxyde de mendélévium
102,No,Nobelio,Metal,3;4,2,Oxyde de nobélium,Oxyde nobélique,,,,Oxyde Nobelio
103,Lr,Laurencio,Metal,3;4,2,Oxyde laurenteux,Oxyde laurique,,,,Oxyde de Laurencio
15,P,Correspondre,Non-metal,3;4;5,3,Oxyde d'hypophosphore,Oxyde de phosphore,Oxyde de phosphore,,,Oxyde de phosphore
107,Bh,Bohrio,Metal,3;4;5,3,Oxyde HypoBohrous,Oxyde de Bohrous,Oxyde de Bohrique,,,Oxyde de Bohrio
116,Lv,Livermorio,Metal,3;4;5,3,Oxyde d'hypo-foie,Oxyde de foie,Oxyde Livermorique,,,Oxyde de Livermorio
92,U,Uranium,Metal,3;4;5;6,4,Oxyde hypouraneux,Oxyde d'Uranus,Oxyde Uranique,Oxyde Péruvien,,Oxyde d'uranium
93,Np,Neptunium,Metal,3;4;5;6,4,Oxyde d'Hypo Neptunious,Oxyde de Neptun,Oxyde Neptunique,Oxyde perneptunique,,Oxyde de neptunium
94,Pu,Plutonium,Metal,3;4;5;6,4,Oxyde hypoplutoneux,Oxyde de Pluton,Oxyde Plutonique,Oxyde perplutonique,,Oxyde de plutonium
95,Am,Américium,Metal,3;4;5;6,4,Oxyde hypoamérique,Oxyde d'Amérique,Oxyde d'américium,Oxyde de PerAmeric,,Oxyde d'américium
33,As,Arsenic,Metalloid,3;5,2,Oxyde d'arsenic,Oxyde d'arsenic,,,,Oxyde d'arsenic
41,Nb,Niobium,Metal,3;5,2,Oxyde de niobium,Oxyde de nitrogène,,,,Oxyde de niobium
51,Sb,Antimoine,Metalloid,3;5,2,Oxyde d'antimoine,Oxyde d'antimoine,,,,Oxyde d'antimoine
83,Bi,Bismuth,Metal,3;5,2,Oxyde de bismuth,Oxyde de bismuth,,,,Oxyde de bismuth
91,Pa,Protactinium,Metal,4;5,2,Oxyde de protactinium,Oxyde protactinique,,,,Oxyde de protactinium
34,Se,Sélénium,Non-metal,4;6,2,Oxyde de sélénium,Oxyde sélénique,,,,Oxyde de sélénium
118,Og,Oganeson,Metal,4;7,2,Oxyde d'Oganésone,Oxyde d'Oganèse,,,,Oxyde d'Oganeson
